Account,Date,Payee,Category,Project,Amount,AmountTo,Status,StatusTo,Memo
Casierie Sampetru,2016-01-03,Donatie Vali,Donatii:Donatie Vali,,-1200.00,,,,
Casierie Sampetru,2016-01-03,Donatie Bebe,Donatii:Donatie Bebe,,-500.00,,,,
Casierie Sampetru,2016-01-03,Benzina Rupea,Misiune:Rupea,,-60.00,,,,
Casierie Sampetru,2016-01-03,Carti legatorie,Alte cheltuieli,,-120.00,,,,
Casierie Sampetru,2016-01-10,Colecta,Colecta comuna,,625.00,,,,
Casierie Sampetru,2016-01-10,Plic 24 ian,Plicuri:Plic 24,,100.00,,,,
Casierie Sampetru,2016-01-10,Plic 22 ian,Plicuri:Plic 22,,200.00,,,,
Casierie Sampetru,2016-01-10,Plic 13 ian,Plicuri:Plic 13,,200.00,,,,
Casierie Sampetru,2016-01-10,Plic 11 ian,Plicuri:Plic 11,,150.00,,,,
Casierie Sampetru,2016-01-10,Plic 1 ianuarie,Plicuri:Plic 1,,150.00,,,,
Casierie Sampetru,2016-01-17,Colecta,Colecta comuna,,383.00,,,,
Casierie Sampetru,2016-01-17,Plic 5 ian,Plicuri:Plic 5,,300.00,,,,
Casierie Sampetru,2016-01-17,Plic 11 ian,Plicuri:Plic 11,,50.00,,,,
Casierie Sampetru,2016-01-17,Plic 30,Plicuri:Plic 30,,90.00,,,,
Casierie Sampetru,2016-01-17,Plic 12,Plicuri:Plic 12,,50.00,,,,
Casierie Sampetru,2016-01-17,Plic 31,Plicuri:Plic 31,,90.00,,,,
Casierie Sampetru,2016-01-17,Fact electrica,Facturi:Electrica,,-79.00,,,,
Casierie Sampetru,2016-01-17,Fact gaz,Facturi:Gaz,,-180.00,,,,
Casierie Sampetru,2016-01-17,Benzina Rupea,Misiune:Rupea,,-120.00,,,,
Casierie Sampetru,2016-01-24,Benzina ticus,Misiune:Ticus,,-70.00,,,,
Casierie Sampetru,2016-01-24,Colecta,Colecta comuna,,180.00,,,,
Casierie Sampetru,2016-01-24,Plic 9 ian,Plicuri:Plic 9,,12.00,,,,
Casierie Sampetru,2016-01-24,Plic 8 ian,Plicuri:Plic 8,,20.00,,,,
Casierie Sampetru,2016-01-24,Plic 3 ian,Plicuri:Plic 3,,100.00,,,,
Casierie Sampetru,2016-01-24,Plic 2 ian,Plicuri:Plic 2,,100.00,,,,
Casierie Sampetru,2016-01-24,Plic 4 ian,Plicuri:Plic 4,,150.00,,,,
Casierie Sampetru,2016-01-31,Colecta,Colecta comuna,,259.00,,,,
Casierie Sampetru,2016-01-31,Plic 10 ian,Plicuri:Plic 10,,230.00,,,,
Casierie Sampetru,2016-01-31,Plic 25 ian,Plicuri:Plic 25,,150.00,,,,
Casierie Sampetru,2016-01-31,Benzina Rupea,Misiune:Rupea,,-120.00,,,,
Casierie Sampetru,2016-01-31,Plic 24 ian,Plicuri:Plic 24,,70.00,,,,
Casierie Sampetru,2016-02-06,Donatie Vali,Donatii:Donatie Vali,,-1200.00,,,,
Casierie Sampetru,2016-02-06,Plic 22 feb,Plicuri:Plic 22,,200.00,,,,
Casierie Sampetru,2016-02-06,Plic 20 ian,Plicuri:Plic 20,,110.00,,,,
Casierie Sampetru,2016-02-06,Colecta,Colecta comuna,,189.00,,,,
